EART,SCC,PSCC,MoScc200,Mast,MastEvs,MasTrtLif,DMAST,LastCul,LACT,MILK,Repro,DCC,DIM,TDAT
5539,18,13,,Uninfected,0,,,Strep. dysgalactiae,4,125,Bred,,194,11/4/2024
5870,18,13,,Uninfected,0,,,,1,76,Preg,192,293,11/4/2024
5913,18,38,,Uninfected,0,,,No Growth,1,89,Preg,122,187,11/4/2024
5933,18,19,,Uninfected,1,1,6/15/2024,Strep. ag,1,89,Preg,108,171,11/4/2024
5938,18,20,,Uninfected,0,,,,1,89,Preg,129,194,11/4/2024
5981,18,15,,Uninfected,0,,,,1,99,Bred,,70,11/4/2024
5991,18,,,Uninfected,0,,,,1,70,Fresh,,47,11/4/2024
91375,18,1970,1,New Infection,1,1,7/15/2024,E. coli,4,43,Dry,269,229,8/21/2024
91709,18,13,,Uninfected,0,,,Staph species,4,63,Dry,227,286,11/4/2024
5446,15,23,,Uninfected,0,,,,5,87,Preg,129,229,11/4/2024
5579,15,20,,Uninfected,0,,,,4,144,Bred,,69,11/4/2024
5664,15,13,,Uninfected,0,,,No Growth,3,102,Preg,136,202,11/4/2024
5722,15,13,,Uninfected,0,,,,2,90,Preg,157,221,11/4/2024
5865,15,13,,Uninfected,0,,,,1,87,Preg,213,273,11/4/2024
5983,15,13,,Uninfected,0,,,Staph. aureus,1,87,Bred,,82,11/4/2024
5992,15,132,,Uninfected,0,,,,1,93,Bred,,66,11/4/2024
5501,14,13,,Uninfected,0,,,,4,105,Bred,,237,11/4/2024
5245,13,13,,Uninfected,1,,10/27/2024,E. coli,6,113,Preg,73,135,11/4/2024
5246,13,13,,Uninfected,1,,11/5/2024,E. coli,7,148,Bred,,79,11/4/2024
5271,13,13,,Uninfected,2,,11/25/2024,No Growth,6,115,Preg,122,291,11/4/2024
5311,13,35,,Uninfected,0,,,No Growth,6,147,Bred,,69,11/4/2024
5350,13,,,Uninfected,0,,,,6,112,Fresh,,59,11/4/2024
5367,13,13,,Uninfected,0,,,No Growth,5,76,DNB,,256,11/4/2024
5370,13,13,,Uninfected,1,1,8/9/2024,Strep. ag,5,140,Preg,59,120,11/4/2024
5384,13,13,,Uninfected,0,,,,5,121,Preg,52,117,11/4/2024
5387,13,25,,Uninfected,0,,,E. coli,5,117,Preg,129,327,11/4/2024
5403,13,13,,Uninfected,0,,,No Growth,5,75,Preg,206,307,11/4/2024
5437,13,13,,Uninfected,0,,,Gram Positive,5,140,Preg,38,104,11/4/2024
5449,13,,,Uninfected,0,,,Klebsiella,5,141,Fresh,,53,11/4/2024
5459,13,13,,Uninfected,0,,,,4,108,Preg,66,203,11/4/2024
5475,13,27,,Uninfected,0,,,No Growth,5,108,Open,,110,11/4/2024
5490,13,,,Uninfected,0,,,No Growth,4,149,Fresh,,50,11/4/2024
5494,13,13,,Uninfected,0,,,Lh.Chrom,4,90,Bred,,276,11/4/2024
5509,13,100,,Uninfected,0,,,No Growth,4,120,Bred,,66,11/4/2024
5516,13,13,,Uninfected,0,,,Lh.Chrom,4,105,Preg,157,344,11/4/2024
5522,13,18,,Uninfected,0,,,No Growth,4,96,Preg,101,300,11/4/2024
5532,13,13,,Uninfected,0,,,,4,106,Preg,38,104,11/4/2024
5543,13,13,,Uninfected,0,,,,4,99,Preg,66,128,11/4/2024
5549,13,13,,Uninfected,0,,,,4,121,Preg,80,179,11/4/2024
5558,13,13,,Uninfected,0,,,,4,108,Preg,143,250,11/4/2024
5561,13,13,,Uninfected,0,,,,4,127,Preg,59,124,11/4/2024
5576,13,13,,Uninfected,0,,,,4,129,Bred,,90,11/4/2024
5577,13,25,,Uninfected,0,,,,4,120,Bred,,122,11/4/2024
5585,13,13,,Uninfected,0,,,,4,116,Bred,,90,11/4/2024
5590,13,13,,Uninfected,0,,,No Growth,4,99,Preg,73,135,11/4/2024
5594,13,,,Uninfected,0,,,No Growth,4,112,Fresh,,55,11/4/2024
5624,13,13,,Uninfected,0,,,,3,93,Preg,74,351,11/4/2024
5637,13,41,,Uninfected,0,,,,3,93,Dry,234,287,11/4/2024
5638,13,13,,Uninfected,0,,,,3,94,DNB,,236,11/4/2024
5641,13,44,,Uninfected,0,,,No Growth,3,74,Preg,53,250,11/4/2024
5642,13,13,,Uninfected,0,,,No Growth,3,111,Bred,,176,11/4/2024
5645,13,13,,Uninfected,0,,,E. coli,3,97,DNB,,232,11/4/2024
5658,13,29,,Uninfected,0,,,,3,131,Bred,,87,11/4/2024
5662,13,13,,Uninfected,0,,,,3,134,Preg,74,138,11/4/2024
5666,13,13,,Uninfected,0,,,,3,109,Preg,93,175,11/4/2024
5673,13,13,,Uninfected,0,,,No Growth,3,128,Preg,45,106,11/4/2024
5677,13,13,,Uninfected,0,,,E. coli,3,116,Preg,37,119,11/4/2024
5685,13,,,Uninfected,0,,,,3,116,Fresh,,49,11/4/2024
5686,13,13,,Uninfected,0,,,No Growth,3,115,Bred,,163,11/4/2024
5702,13,,,Uninfected,0,,,,3,116,Fresh,,51,11/4/2024
5707,13,13,,Uninfected,0,,,,2,110,Open,,246,11/4/2024
5735,13,13,,Uninfected,0,,,,2,121,Preg,149,236,11/4/2024
5737,13,13,,Uninfected,0,,,No Growth,2,95,DNB,,293,11/4/2024
5746,13,19,,Uninfected,0,,,,2,79,Dry,262,288,9/30/2024
5756,13,13,,Uninfected,1,1,11/9/2024,Staph species,2,105,Bred,,220,11/4/2024
5757,13,13,,Uninfected,0,,,No Growth,2,91,Preg,192,291,11/4/2024
5758,13,13,,Uninfected,1,,7/27/2024,No Growth,2,97,Preg,178,243,11/4/2024
5769,13,13,,Uninfected,0,,,Staph species,2,102,Preg,73,136,11/4/2024
5804,13,13,,Uninfected,1,,11/12/2024,E. coli,2,103,Preg,66,162,11/4/2024
5810,13,13,,Uninfected,0,,,,2,128,Bred,,100,11/4/2024
5815,13,13,,Uninfected,0,,,Staph species,2,90,Preg,108,172,11/4/2024
5819,13,50,,Uninfected,0,,,Staph species,2,90,Preg,87,151,11/4/2024
5821,13,,,Uninfected,0,,,Staph species,2,112,Fresh,,54,11/4/2024
5824,13,31,,Uninfected,0,,,No Growth,2,122,Bred,,70,11/4/2024
5830,13,,,Uninfected,0,,,,2,120,Fresh,,45,11/4/2024
5850,13,,,Uninfected,0,,,,2,100,Fresh,,59,11/4/2024
5875,13,13,,Uninfected,0,,,,1,92,Preg,127,338,11/4/2024
5877,13,13,,Uninfected,0,,,,1,100,Preg,199,327,11/4/2024
5878,13,13,,Uninfected,0,,,,1,65,Dry,235,342,11/4/2024
5885,13,13,,Uninfected,0,,,,1,59,Preg,213,344,11/4/2024
5889,13,19,,Uninfected,0,,,,1,82,Preg,213,279,11/4/2024
5895,13,18,,Uninfected,0,,,,1,79,Preg,94,250,11/4/2024
5899,13,13,,Uninfected,0,,,,1,79,Dry,227,286,11/4/2024
5901,13,71,,Uninfected,1,,3/27/2024,E. coli,1,56,Dry,227,283,11/4/2024
5906,13,13,,Uninfected,0,,,,1,98,Preg,136,271,11/4/2024
5910,13,13,,Uninfected,0,,,,1,82,Preg,143,303,11/4/2024
5911,13,13,,Uninfected,0,,,,1,92,Preg,220,281,11/4/2024
5915,13,13,,Uninfected,0,,,,1,85,Open,,207,11/4/2024
5916,13,14,,Uninfected,0,,,,1,79,Preg,178,239,11/4/2024
5917,13,13,,Uninfected,0,,,,1,105,Preg,94,241,11/4/2024
5919,13,22,,Uninfected,0,,,,1,77,Preg,192,257,11/4/2024
5921,13,15,,Uninfected,0,,,,1,82,Bred,,239,11/4/2024
5934,13,13,,Uninfected,0,,,,1,73,Preg,178,238,11/4/2024
5937,13,66,,Uninfected,0,,,,1,79,Preg,143,204,11/4/2024
5940,13,13,,Uninfected,0,,,,1,74,Preg,108,169,11/4/2024
5944,13,13,,Uninfected,0,,,,1,85,Preg,129,194,11/4/2024
5945,13,15,,Uninfected,0,,,,1,80,Preg,81,180,11/4/2024
5955,13,19,,Uninfected,0,,,,1,98,Preg,74,175,11/4/2024
5966,13,13,,Uninfected,0,,,,1,88,Preg,52,114,11/4/2024
5974,13,18,,Uninfected,0,,,,1,89,Bred,,108,11/4/2024
5982,13,15,,Uninfected,0,,,,1,77,Bred,,72,11/4/2024
5995,13,57,,Uninfected,0,,,,1,86,Bred,,66,11/4/2024
5999,13,,,Uninfected,0,,,,1,69,Fresh,,44,11/4/2024
6004,13,,,Uninfected,0,,,,1,76,Fresh,,56,11/4/2024
20014,13,13,,Uninfected,0,,,No Growth,2,104,Bred,,130,11/4/2024
20017,13,13,,Uninfected,0,,,,2,95,Preg,66,204,11/4/2024
20025,13,13,,Uninfected,0,,,,2,108,Preg,100,185,11/4/2024
86101,13,13,,Uninfected,0,,,No Growth,5,116,Preg,143,208,11/4/2024
86245,13,18,,Uninfected,0,,,E. coli,5,127,Preg,73,138,11/4/2024
91409,13,38,,Uninfected,1,1,8/25/2024,No Growth,4,98,Dry,248,287,11/4/2024
